Year,Month,Orders,Revenue
2023,1,47,56685.749999999985
2023,2,37,40117.659999999996
2023,3,43,48609.37000000001
2023,4,31,27751.710000000006
2023,5,49,63836.840000000026
2023,6,45,49500.19
2023,7,44,42820.66
2023,8,51,54352.14
2023,9,29,29526.67
2023,10,47,52607.85
2023,11,41,43079.67
2023,12,46,43754.72999999998
2024,1,32,38528.079999999994
2024,2,32,36909.570000000014
2024,3,36,36030.899999999994
2024,4,50,49613.13999999999
2024,5,34,27909.110000000004
2024,6,53,68068.53999999998
2024,7,43,42963.98
2024,8,28,31991.07
2024,9,44,39794.979999999996
2024,10,31,37226.969999999994
2024,11,35,32413.760000000006
2024,12,41,38785.77
2025,1,27,29099.399999999998
2025,2,37,35317.549999999996
2025,3,49,39200.66000000001
2025,4,32,31821.2
2025,5,37,43396.63999999999
2025,6,49,53047.399999999994
